,index,trips,nyc_population,dom_tourism,int_tourism
0,1/28/14,300400,8433806,44.5,12
1,2/28/14,224736,8433806,44.5,12
2,3/28/14,439117,8433806,44.5,12
3,4/28/14,670780,8433806,44.5,12
4,5/28/14,866117,8433806,44.5,12
5,6/28/14,936880,8433806,44.5,12
6,7/28/14,968842,8433806,44.5,12
7,8/28/14,963489,8433806,44.5,12
8,9/28/14,953887,8433806,44.5,12
9,10/28/14,828711,8433806,44.5,12
10,11/28/14,529188,8433806,44.5,12
11,12/28/14,399069,8433806,44.5,12
12,1/28/15,285552,8463049,46.2,12.3
13,2/28/15,196930,8463049,46.2,12.3
14,3/28/15,341826,8463049,46.2,12.3
15,4/28/15,652390,8463049,46.2,12.3
16,5/28/15,961986,8463049,46.2,12.3
17,6/28/15,941219,8463049,46.2,12.3
18,7/28/15,1085676,8463049,46.2,12.3
19,8/28/15,1179044,8463049,46.2,12.3
20,9/28/15,1289699,8463049,46.2,12.3
21,10/28/15,1212277,8463049,46.2,12.3
22,11/28/15,987245,8463049,46.2,12.3
23,12/28/15,804125,8463049,46.2,12.3
24,1/28/16,509478,8469153,47.8,12.7
25,2/28/16,560874,8469153,47.8,12.7
26,3/28/16,919921,8469153,47.8,12.7
27,4/28/16,1013149,8469153,47.8,12.7
28,5/28/16,1212280,8469153,47.8,12.7
29,6/28/16,1460318,8469153,47.8,12.7
30,7/28/16,1380110,8469153,47.8,12.7
31,8/28/16,1557663,8469153,47.8,12.7
32,9/28/16,1648856,8469153,47.8,12.7
33,10/28/16,1573872,8469153,47.8,12.7
34,11/28/16,1196942,8469153,47.8,12.7
35,12/28/16,812192,8469153,47.8,12.7
36,1/28/17,726676,8437478,49.7,13.1
37,2/28/17,791647,8437478,49.7,13.1
38,3/28/17,727665,8437478,49.7,13.1
39,4/28/17,1315404,8437478,49.7,13.1
40,5/28/17,1523268,8437478,49.7,13.1
41,6/28/17,1731594,8437478,49.7,13.1
42,7/28/17,1735599,8437478,49.7,13.1
43,8/28/17,1816498,8437478,49.7,13.1
44,9/28/17,1878098,8437478,49.7,13.1
45,10/28/17,1897592,8437478,49.7,13.1
46,11/28/17,1330649,8437478,49.7,13.1
47,12/28/17,889967,8437478,49.7,13.1
48,1/28/18,718994,8390081,51.5,13.6
49,2/28/18,843114,8390081,51.5,13.6
50,3/28/18,976672,8390081,51.5,13.6
51,4/28/18,1307543,8390081,51.5,13.6
52,5/28/18,1824710,8390081,51.5,13.6
53,6/28/18,1953103,8390081,51.5,13.6
54,7/28/18,1913625,8390081,51.5,13.6
55,8/28/18,1977177,8390081,51.5,13.6
56,9/28/18,1877884,8390081,51.5,13.6
57,10/28/18,1878657,8390081,51.5,13.6
58,11/28/18,1260355,8390081,51.5,13.6
59,12/28/18,1016505,8390081,51.5,13.6
60,1/28/19,967287,8336817,53.1,13.5
61,2/28/19,943745,8336817,53.1,13.5
62,3/28/19,1327960,8336817,53.1,13.5
63,4/28/19,1766094,8336817,53.1,13.5
64,5/28/19,1924563,8336817,53.1,13.5
65,6/28/19,2125370,8336817,53.1,13.5
66,7/28/19,2181064,8336817,53.1,13.5
67,8/28/19,2344224,8336817,53.1,13.5
68,9/28/19,2444900,8336817,53.1,13.5
69,10/28/19,2092573,8336817,53.1,13.5
70,11/28/19,1478708,8336817,53.1,13.5
71,12/28/19,955210,8336817,53.1,13.5
72,1/28/20,1240596,8379552,19.9,2.4
73,2/28/20,1146830,8379552,19.9,2.4
74,3/28/20,1068457,8379552,19.9,2.4
75,4/28/20,682762,8379552,19.9,2.4
76,5/28/20,1487890,8379552,19.9,2.4
77,6/28/20,1882274,8379552,19.9,2.4
78,7/28/20,2105808,8379552,19.9,2.4
79,8/28/20,2329514,8379552,19.9,2.4
80,9/28/20,2488225,8379552,19.9,2.4
81,10/28/20,2248869,8379552,19.9,2.4
82,11/28/20,1736705,8379552,19.9,2.4
83,12/28/20,1088929,8379552,19.9,2.4
84,1/28/21,1095346,8467523,30.2,2.7
85,2/28/21,649984,8467523,30.2,2.7
86,3/28/21,1531095,8467523,30.2,2.7
87,4/28/21,2067670,8467523,30.2,2.7
88,5/28/21,2724166,8467523,30.2,2.7
89,6/28/21,3178082,8467523,30.2,2.7
90,7/28/21,3084915,8467523,30.2,2.7
91,8/28/21,3072834,8467523,30.2,2.7
92,9/28/21,3280561,8467523,30.2,2.7
93,10/28/21,3069236,8467523,30.2,2.7
94,11/28/21,2159285,8467523,30.2,2.7
95,12/28/21,1748288,8467523,30.2,2.7
96,1/28/22,1052419,,,
97,2/28/22,1233715,,,
98,3/28/22,1893445,,,
99,4/28/22,2319614,,,
100,5/28/22,2940601,,,
101,6/28/22,3432883,,,
102,7/28/22,3497390,,,
103,8/28/22,3681309,,,
104,9/28/22,3507123,,,
105,10/28/22,3021670,,,
106,11/28/22,2460105,,,
107,12/28/22,1649652,,,
