,index,trips,nyc_population ,dom_tourism,int_tourism
0,1/28/14,300400,"8,433,806",44.50,12
1,2/28/14,224736,"8,433,806",44.50,12
2,3/28/14,439117,"8,433,806",44.50,12
3,4/28/14,670780,"8,433,806",44.50,12
4,5/28/14,866117,"8,433,806",44.50,12
5,6/28/14,936880,"8,433,806",44.50,12
6,7/28/14,968842,"8,433,806",44.50,12
7,8/28/14,963489,"8,433,806",44.50,12
8,9/28/14,953887,"8,433,806",44.50,12
9,10/28/14,828711,"8,433,806",44.50,12
10,11/28/14,529188,"8,433,806",44.50,12
11,12/28/14,399069,"8,433,806",44.50,12
12,1/28/15,285552,"8,463,049",46.20,12.3
13,2/28/15,196930,"8,463,049",46.20,12.3
14,3/28/15,341826,"8,463,049",46.20,12.3
15,4/28/15,652390,"8,463,049",46.20,12.3
16,5/28/15,961986,"8,463,049",46.20,12.3
17,6/28/15,941219,"8,463,049",46.20,12.3
18,7/28/15,1085676,"8,463,049",46.20,12.3
19,8/28/15,1179044,"8,463,049",46.20,12.3
20,9/28/15,1289699,"8,463,049",46.20,12.3
21,10/28/15,1212277,"8,463,049",46.20,12.3
22,11/28/15,987245,"8,463,049",46.20,12.3
23,12/28/15,804125,"8,463,049",46.20,12.3
24,1/28/16,509478,"8,469,153",47.80,12.7
25,2/28/16,560874,"8,469,153",47.80,12.7
26,3/28/16,919921,"8,469,153",47.80,12.7
27,4/28/16,1013149,"8,469,153",47.80,12.7
28,5/28/16,1212280,"8,469,153",47.80,12.7
29,6/28/16,1460318,"8,469,153",47.80,12.7
30,7/28/16,1380110,"8,469,153",47.80,12.7
31,8/28/16,1557663,"8,469,153",47.80,12.7
32,9/28/16,1648856,"8,469,153",47.80,12.7
33,10/28/16,1573872,"8,469,153",47.80,12.7
34,11/28/16,1196942,"8,469,153",47.80,12.7
35,12/28/16,812192,"8,469,153",47.80,12.7
36,1/28/17,726676,"8,437,478",49.70,13.1
37,2/28/17,791647,"8,437,478",49.70,13.1
38,3/28/17,727665,"8,437,478",49.70,13.1
39,4/28/17,1315404,"8,437,478",49.70,13.1
40,5/28/17,1523268,"8,437,478",49.70,13.1
41,6/28/17,1731594,"8,437,478",49.70,13.1
42,7/28/17,1735599,"8,437,478",49.70,13.1
43,8/28/17,1816498,"8,437,478",49.70,13.1
44,9/28/17,1878098,"8,437,478",49.70,13.1
45,10/28/17,1897592,"8,437,478",49.70,13.1
46,11/28/17,1330649,"8,437,478",49.70,13.1
47,12/28/17,889967,"8,437,478",49.70,13.1
48,1/28/18,718994,"8,390,081",51.50,13.6
49,2/28/18,843114,"8,390,081",51.50,13.6
50,3/28/18,976672,"8,390,081",51.50,13.6
51,4/28/18,1307543,"8,390,081",51.50,13.6
52,5/28/18,1824710,"8,390,081",51.50,13.6
53,6/28/18,1953103,"8,390,081",51.50,13.6
54,7/28/18,1913625,"8,390,081",51.50,13.6
55,8/28/18,1977177,"8,390,081",51.50,13.6
56,9/28/18,1877884,"8,390,081",51.50,13.6
57,10/28/18,1878657,"8,390,081",51.50,13.6
58,11/28/18,1260355,"8,390,081",51.50,13.6
59,12/28/18,1016505,"8,390,081",51.50,13.6
60,1/28/19,967287,"8,336,817",53.10,13.5
61,2/28/19,943745,"8,336,817",53.10,13.5
62,3/28/19,1327960,"8,336,817",53.10,13.5
63,4/28/19,1766094,"8,336,817",53.10,13.5
64,5/28/19,1924563,"8,336,817",53.10,13.5
65,6/28/19,2125370,"8,336,817",53.10,13.5
66,7/28/19,2181064,"8,336,817",53.10,13.5
67,8/28/19,2344224,"8,336,817",53.10,13.5
68,9/28/19,2444900,"8,336,817",53.10,13.5
69,10/28/19,2092573,"8,336,817",53.10,13.5
70,11/28/19,1478708,"8,336,817",53.10,13.5
71,12/28/19,955210,"8,336,817",53.10,13.5
72,1/28/20,1240596,"8,379,552",19.90,2.4
73,2/28/20,1146830,"8,379,552",19.90,2.4
74,3/28/20,1068457,"8,379,552",19.90,2.4
75,4/28/20,682762,"8,379,552",19.90,2.4
76,5/28/20,1487890,"8,379,552",19.90,2.4
77,6/28/20,1882274,"8,379,552",19.90,2.4
78,7/28/20,2105808,"8,379,552",19.90,2.4
79,8/28/20,2329514,"8,379,552",19.90,2.4
80,9/28/20,2488225,"8,379,552",19.90,2.4
81,10/28/20,2248869,"8,379,552",19.90,2.4
82,11/28/20,1736705,"8,379,552",19.90,2.4
83,12/28/20,1088929,"8,379,552",19.90,2.4
84,1/28/21,1095346,"8,467,523",30.20,2.7
85,2/28/21,649984,"8,467,523",30.20,2.7
86,3/28/21,1531095,"8,467,523",30.20,2.7
87,4/28/21,2067670,"8,467,523",30.20,2.7
88,5/28/21,2724166,"8,467,523",30.20,2.7
89,6/28/21,3178082,"8,467,523",30.20,2.7
90,7/28/21,3084915,"8,467,523",30.20,2.7
91,8/28/21,3072834,"8,467,523",30.20,2.7
92,9/28/21,3280561,"8,467,523",30.20,2.7
93,10/28/21,3069236,"8,467,523",30.20,2.7
94,11/28/21,2159285,"8,467,523",30.20,2.7
95,12/28/21,1748288,"8,467,523",30.20,2.7
96,1/28/22,1052419,,,
97,2/28/22,1233715,,,
98,3/28/22,1893445,,,
99,4/28/22,2319614,,,
100,5/28/22,2940601,,,
101,6/28/22,3432883,,,
102,7/28/22,3497390,,,
103,8/28/22,3681309,,,
104,9/28/22,3507123,,,
105,10/28/22,3021670,,,
106,11/28/22,2460105,,,
107,12/28/22,1649652,,,
